,subjectId,subjectName,subjectType,credits,duration
0,3CCI01,Computer Organization ,0,4,1
1,3CCI02,Data Structures,0,4.5,1
2,3CCI03,Logic Design,0,4,1
3,3CCI04,Discrete Mathematical structures,0,4.5,1
7,3MAT3C,Mathematical Concepts for Information Technology,0,3.5,1
8,4CCI01,Object Oriented Programming with C++ ,0,4,1
9,4CCI02,Analysis & Design of Algorithms ,0,4,1
10,4CCI03,Finite Automata & Formal Languages,0,4,1
11,4CCI04, Graph Theory and Combinatorics ,0,4,1
12,4CS01,Microcontroller ,0,4,1
15,4MAT2,Statistics and Probability Theory ,0,3.5,1
16,5CCI01 ,Database management Systems,0,4,1
17,5CCI02,Data Communications,0,4,1
18,5CCI03,Operating Systems,0,4,1
19,5CCI04,UNIX and Shell Programming ,0,4,1
23,6CCI01 ,Computer Networks,0,4,1
24,6CCI02,Software Engineering,0,4,1
25,6CS01,System Software and Compiler Design,0,4,1
26,6CS03,Computer Graphics and visualization,0,3,1
31,7CCI01,Cryptography & Network Security ,0,4,1
32,7CS02,Object Oriented Modeling and Design,0,4,1
35,ASE,Advanced  Software Engineering,0,3,1
36,AWN,Adhoc Wireless Networks,0,3,1
40,CSPE01,Artificial Intelligence,0,3,1
41,CSPE02,Advanced DBMS,0,3,1
42,CSPE03,Data Compression,0,3,1
43,CSPE05,C# and .Net Technologies,0,3,1
44,CSPE06,Multimedia Computing,0,3,1
45,CSPE07,Data warehouse and Data Mining,0,3,1
46,CSPE08,Cloud Computing,0,3,1
47,CSPE09,Distributed Operating System,0,3,1
48,CSPE10,System Simulation & Modeling,0,3,1
49,CSPE11,Fuzzy Logic,0,3,1
50,CSPE12,Wireless Sensor Networks,0,3,1
51,CSPE13,Advanced Computer Architecture,0,3,1
52,CSPE14,Web 2.0 & rich internet application,0,3,1
53,CSPE15,Software Architecture,0,3,1
54,CSPE16,Computer Systems & Performance Analysis,0,3,1
55,CSPE17,Storage Area Networks,0,3,1
56,CSPE19,Communication Protocol Engineering,0,3,1
57,CSPE20,Ad hoc Wireless Networks,0,3,1
58,CSPE21,Multi-Core Architecture and Programming,0,3,1
59,CSPE22,Advanced Algorithms,0,3,1
60,CSPE23,Web Design Technique,0,3,1
61,CSPE24,Parallel Algorithms,0,3,1
62,CSPE25,Fundamentals of Digital Image Processing,0,3,1
63,CSPE26,Service Oriented Architecture,0,3,1
64,CSPE27,Mobile Computing,0,3,1
65,CSPE28,High Performance Computing,0,3,1
66,CSPE29,Network Management,0,3,1
67,CSPE30,Cyber Security,0,3,1
68,CSPE31,Software Testing,0,3,1
69,CSPE32,Advanced UNIX Programming ,0,3,1
70,CSPE33,Foundations of Data Science,0,3,1
72,DCS,Distributed Computing Systems,0,3,1
73,FR,FREE,0,0,1
77,MC03, Const. of India & Prof. Ethics ,0,0,1
80,NA,Not Allocated,0,0,1
81,OE01,Open Elective 1,0,3,1
82,OE02,Open Elective 2,0,3,1
83,OE03,Open Elective 3,0,3,1
84,ON,Optical Networks,0,3,1
85,PE01,Professional Elective - 1,0,3,1
86,PE02,Professional Elective - 2,0,3,1
87,PE03,Professional Elective - 3,0,3,1
88,PE04,Professional Elective - 4,0,3,1
89,PE05,Professional Elective - 5,0,3,1
90,PE06,Professional Elective - 6,0,3,1
91,SC,Soft Computing,0,3,1
4,3CSL01,Data Structures  Lab ,1,1.5,3
5,3CSL02,Logic Design Lab,1,1.5,3
6,3CSL03,Arduino Programming Lab ,1,1,3
13,4CSL01,Object Oriented Programming Lab.,1,1.5,3
14,4CSL02,Microcontroller Lab.,1,1.5,3
20,5CSL01,Analysis & Design of\nAlgorithms Lab,1,1.5,3
21,5CSL02,Java Programming Lab ,1,1.5,3
27,6CSL01,Database Management System Lab,1,1.5,3
28,6CSL03,Compiler Design and Operating System Lab,1,1.5,3
29,6CSL04,Computer Graphics and visualization Lab,1,1,3
33,7CSL01,Network Programming Lab,1,1.5,3
34,7CSL02,Cryptography & Network Security Lab,1,1.5,3
76,LFR,Lab-Free,1,0,3
22,5CSMP,Mini Project ,2,0,1
30,6CSMP,Mini Project,2,1,1
78,MC05,Aptitude Related Analytical Skills,3,0,1
79,MC06,Soft Skills,3,0,1
38,CSMP7 ,Major Project ,4,3,1
37,CSIT ,Industrial Training,5,0,1
39,CSMP8,Major Project ,5,9.9,1
71,CSTS,Technical Seminar ,6,1,1
74,HS22,Environmental Science ,8,3,1
75,HSS22,Humanity and Social Sciences,8,3,1
